power	   1.0Hz
cycle sample index,voltage
NaN,NaN
3.0,4.171
4.0,4.189
5.0,4.183
6.0,4.177
7.0,4.189
8.0,4.183
9.0,4.195
10.0,4.189
11.0,4.171
12.0,4.166
13.0,4.195
14.0,4.195
15.0,4.183
16.0,4.166
17.0,4.177
18.0,4.183
19.0,4.177
20.0,4.177
21.0,4.177
22.0,4.177
23.0,4.177
24.0,4.183
25.0,4.177
26.0,4.177
27.0,4.177
28.0,4.160
29.0,4.189
30.0,4.177
31.0,4.195
32.0,4.166
33.0,4.177
34.0,4.177
35.0,4.171
36.0,4.177
37.0,4.171
38.0,4.177
39.0,4.177
40.0,4.171
41.0,4.177
42.0,4.177
43.0,4.177
44.0,4.171
45.0,4.171
46.0,4.177
47.0,4.177
48.0,4.171
49.0,4.177
50.0,4.177
51.0,4.177
52.0,4.195
53.0,4.183
54.0,4.177
55.0,4.177
56.0,4.166
57.0,4.189
58.0,4.171
59.0,4.177
60.0,4.177
61.0,4.171
62.0,4.189
63.0,4.166
64.0,4.183
65.0,4.183
66.0,4.160
67.0,4.183
68.0,4.177
69.0,4.177
70.0,4.177
71.0,4.177
72.0,4.171
73.0,4.177
74.0,4.177
75.0,4.183
76.0,4.177
77.0,4.171
78.0,4.195
79.0,4.177
80.0,4.171
81.0,4.171
82.0,4.189
83.0,4.171
84.0,4.183
85.0,4.177
86.0,4.183
87.0,4.177
88.0,4.177
89.0,4.160
90.0,4.171
91.0,4.189
92.0,4.166
93.0,4.171
94.0,4.183
95.0,4.171
96.0,4.177
97.0,4.177
98.0,4.177
99.0,4.171
100.0,4.195
101.0,4.166
102.0,4.160
103.0,4.183
104.0,4.183
105.0,4.177
106.0,4.171
107.0,4.160
108.0,4.183
109.0,4.171
110.0,4.171
111.0,4.177
112.0,4.166
113.0,4.177
114.0,4.171
115.0,4.166
116.0,4.171
117.0,4.189
118.0,4.177
119.0,4.171
120.0,4.177
121.0,4.177
122.0,4.177
123.0,4.183
124.0,4.171
125.0,4.171
126.0,4.171
127.0,4.177
128.0,4.189
129.0,4.177
130.0,4.177
131.0,4.166
132.0,4.177
133.0,4.183
134.0,4.171
135.0,4.166
136.0,4.189
137.0,4.177
138.0,4.177
139.0,4.166
140.0,4.177
141.0,4.183
142.0,4.183
143.0,4.183
144.0,4.171
145.0,4.177
146.0,4.183
147.0,4.171
148.0,4.171
149.0,4.171
150.0,4.166
151.0,4.189
152.0,4.177
153.0,4.166
154.0,4.154
155.0,4.171
156.0,4.171
157.0,4.195
158.0,4.177
159.0,4.183
160.0,4.171
161.0,4.189
162.0,4.183
163.0,4.171
164.0,4.166
165.0,4.171
166.0,4.183
167.0,4.166
168.0,4.171
169.0,4.154
170.0,4.189
171.0,4.166
172.0,4.177
173.0,4.171
174.0,4.171
175.0,4.183
176.0,4.177
177.0,4.177
178.0,4.189
179.0,4.183
180.0,4.183
181.0,4.166
